Step,2025-05-25_12-39-58_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval,2025-05-25_12-39-58_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN,2025-05-25_12-39-58_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX,2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval,2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN,2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX,17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval,17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN,17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX,17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval,17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN,17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX,2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval,2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MIN,2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MAX,2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward,2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MIN,2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MAX,2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward,2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MIN,2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MAX,2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval,2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN,2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX,2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward,2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN,2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX,2026-01-19_06-09-22_kitchen-complete-v0_ppo_shortcut_mlp_score_ta4_td4_seed0 - eval/avg episode reward,2026-01-19_06-09-22_kitchen-complete-v0_ppo_shortcut_mlp_score_ta4_td4_seed0 - eval/avg episode reward__MIN,2026-01-19_06-09-22_kitchen-complete-v0_ppo_shortcut_mlp_score_ta4_td4_seed0 - eval/avg episode reward__MAX,2026-01-19_06-06-01_kitchen-complete-v0_ppo_shortcut_mlp_score_ta4_td4_seed3407 - eval/avg episode reward,2026-01-19_06-06-01_kitchen-complete-v0_ppo_shortcut_mlp_score_ta4_td4_seed3407 - eval/avg episode reward__MIN,2026-01-19_06-06-01_kitchen-complete-v0_ppo_shortcut_mlp_score_ta4_td4_seed3407 - eval/avg episode reward__MAX,2026-01-19_06-01-28_kitchen-complete-v0_ppo_shortcut_mlp_with_score_gammanet_ta4_td4_tdf4_seed0 - eval/avg episode reward,2026-01-19_06-01-28_kitchen-complete-v0_ppo_shortcut_mlp_with_score_gammanet_ta4_td4_tdf4_seed0 - eval/avg episode reward__MIN,2026-01-19_06-01-28_kitchen-complete-v0_ppo_shortcut_mlp_with_score_gammanet_ta4_td4_tdf4_seed0 - eval/avg episode reward__MAX,2026-01-19_03-41-45_kitchen-complete-v0_ppo_shortcut_mlp_with_score_gammanet_ta4_td4_tdf4_seed3407 - eval/avg episode reward,2026-01-19_03-41-45_kitchen-complete-v0_ppo_shortcut_mlp_with_score_gammanet_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MIN,2026-01-19_03-41-45_kitchen-complete-v0_ppo_shortcut_mlp_with_score_gammanet_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MAX,2026-01-15_13-01-37_kitchen-complete-v0_ppo_shortcut_mlp_with_score_gammanet_ta4_td4_tdf4_seed42 - eval/avg episode reward,2026-01-15_13-01-37_kitchen-complete-v0_ppo_shortcut_mlp_with_score_gammanet_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN,2026-01-15_13-01-37_kitchen-complete-v0_ppo_shortcut_mlp_with_score_gammanet_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX,2026-01-15_06-53-20_kitchen-complete-v0_ppo_shortcut_mlp_with_score_gammanet_ta4_td4_tdf4_seed42 - eval/avg episode reward,2026-01-15_06-53-20_kitchen-complete-v0_ppo_shortcut_mlp_with_score_gammanet_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN,2026-01-15_06-53-20_kitchen-complete-v0_ppo_shortcut_mlp_with_score_gammanet_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX,2026-01-14_11-13-32_kitchen-complete-v0_ppo_shortcut_mlp_score_ta4_td4_seed42 - eval/avg episode reward,2026-01-14_11-13-32_kitchen-complete-v0_ppo_shortcut_mlp_score_ta4_td4_seed42 - eval/avg episode reward__MIN,2026-01-14_11-13-32_kitchen-complete-v0_ppo_shortcut_mlp_score_ta4_td4_seed42 - eval/avg episode reward__MAX
0,0,0,0,0,0,0,2.475,2.475,2.475,2.75,2.75,2.75,0,0,0,2.8947368421052637,2.8947368421052637,2.8947368421052637,2.911504424778761,2.911504424778761,2.911504424778761,2.7876106194690267,2.7876106194690267,2.7876106194690267,2.9732142857142856,2.9732142857142856,2.9732142857142856,3.081967213114754,3.081967213114754,3.081967213114754,2.966386554621849,2.966386554621849,2.966386554621849,3.154471544715447,3.154471544715447,3.154471544715447,2.982608695652174,2.982608695652174,2.982608695652174,3.0948275862068964,3.0948275862068964,3.0948275862068964,3.1322314049586777,3.1322314049586777,3.1322314049586777,2.911504424778761,2.911504424778761,2.911504424778761
10,,,,,,,2.625,2.625,2.625,2.9,2.9,2.9,,,,3.684210526315789,3.684210526315789,3.684210526315789,3.488,3.488,3.488,2.9649122807017543,2.9649122807017543,2.9649122807017543,3.826388888888889,3.826388888888889,3.826388888888889,3.7832167832167833,3.7832167832167833,3.7832167832167833,3.632352941176471,3.632352941176471,3.632352941176471,3.907894736842105,3.907894736842105,3.907894736842105,2.6020408163265305,2.6020408163265305,2.6020408163265305,3.780141843971631,3.780141843971631,3.780141843971631,3.838028169014085,3.838028169014085,3.838028169014085,3.5407407407407407,3.5407407407407407,3.5407407407407407
20,,,,,,,3.2,3.2,3.2,2.675,2.675,2.675,,,,3.836734693877551,3.836734693877551,3.836734693877551,3.674418604651162,3.674418604651162,3.674418604651162,3.4296875,3.4296875,3.4296875,3.9027777777777777,3.9027777777777777,3.9027777777777777,3.7058823529411766,3.7058823529411766,3.7058823529411766,3.776978417266187,3.776978417266187,3.776978417266187,3.8698630136986303,3.8698630136986303,3.8698630136986303,3.8620689655172415,3.8620689655172415,3.8620689655172415,3.9047619047619047,3.9047619047619047,3.9047619047619047,3.935064935064935,3.935064935064935,3.935064935064935,3.8129496402877696,3.8129496402877696,3.8129496402877696
30,,,,,,,3.15,3.15,3.15,2.9,2.9,2.9,,,,3.863945578231293,3.863945578231293,3.863945578231293,3.83453237410072,3.83453237410072,3.83453237410072,3.664233576642336,3.664233576642336,3.664233576642336,3.919463087248322,3.919463087248322,3.919463087248322,3.636363636363636,3.636363636363636,3.636363636363636,3.8402777777777777,3.8402777777777777,3.8402777777777777,3.8466666666666662,3.8466666666666662,3.8466666666666662,3.9276315789473686,3.9276315789473686,3.9276315789473686,3.908496732026144,3.908496732026144,3.908496732026144,3.948051948051948,3.948051948051948,3.948051948051948,3.8783783783783785,3.8783783783783785,3.8783783783783785
40,,,,,,,3.025,3.025,3.025,2.825,2.825,2.825,,,,3.815068493150685,3.815068493150685,3.815068493150685,3.83453237410072,3.83453237410072,3.83453237410072,3.7553956834532376,3.7553956834532376,3.7553956834532376,3.9271523178807946,3.9271523178807946,3.9271523178807946,3.8028169014084505,3.8028169014084505,3.8028169014084505,3.947368421052632,3.947368421052632,3.947368421052632,3.9607843137254894,3.9607843137254894,3.9607843137254894,3.9539473684210527,3.9539473684210527,3.9539473684210527,3.947019867549669,3.947019867549669,3.947019867549669,3.9,3.9,3.9,3.895424836601307,3.895424836601307,3.895424836601307
50,,,,,,,3.5,3.5,3.5,3.05,3.05,3.05,,,,3.8926174496644297,3.8926174496644297,3.8926174496644297,3.8472222222222223,3.8472222222222223,3.8472222222222223,3.838926174496644,3.838926174496644,3.838926174496644,3.935483870967742,3.935483870967742,3.935483870967742,3.856164383561644,3.856164383561644,3.856164383561644,3.8986486486486487,3.8986486486486487,3.8986486486486487,3.900662251655629,3.900662251655629,3.900662251655629,3.955128205128205,3.955128205128205,3.955128205128205,3.885135135135135,3.885135135135135,3.885135135135135,3.92156862745098,3.92156862745098,3.92156862745098,3.960526315789474,3.960526315789474,3.960526315789474
60,,,,,,,3.7,3.7,3.7,3.175,3.175,3.175,,,,3.848684210526316,3.848684210526316,3.848684210526316,3.838028169014085,3.838028169014085,3.838028169014085,3.8493150684931514,3.8493150684931514,3.8493150684931514,3.929032258064516,3.929032258064516,3.929032258064516,3.801418439716312,3.801418439716312,3.801418439716312,3.891891891891892,3.891891891891892,3.891891891891892,3.901960784313725,3.901960784313725,3.901960784313725,3.915032679738562,3.915032679738562,3.915032679738562,3.95483870967742,3.95483870967742,3.95483870967742,3.955128205128205,3.955128205128205,3.955128205128205,3.9210526315789473,3.9210526315789473,3.9210526315789473
70,,,,,,,3.325,3.325,3.325,3.5,3.5,3.5,,,,3.961290322580645,3.961290322580645,3.961290322580645,3.905405405405405,3.905405405405405,3.905405405405405,3.7777777777777777,3.7777777777777777,3.7777777777777777,3.929032258064516,3.929032258064516,3.929032258064516,3.880281690140845,3.880281690140845,3.880281690140845,3.8733333333333335,3.8733333333333335,3.8733333333333335,3.856164383561644,3.856164383561644,3.856164383561644,3.961290322580645,3.961290322580645,3.961290322580645,3.928571428571429,3.928571428571429,3.928571428571429,3.974683544303797,3.974683544303797,3.974683544303797,3.941176470588236,3.941176470588236,3.941176470588236
80,,,,,,,3.775,3.775,3.775,3.125,3.125,3.125,,,,3.8933333333333335,3.8933333333333335,3.8933333333333335,3.778571428571429,3.778571428571429,3.778571428571429,3.943037974683544,3.943037974683544,3.943037974683544,3.923566878980892,3.923566878980892,3.923566878980892,3.858108108108108,3.858108108108108,3.858108108108108,3.9220779220779214,3.9220779220779214,3.9220779220779214,3.9483870967741934,3.9483870967741934,3.9483870967741934,3.974683544303797,3.974683544303797,3.974683544303797,3.95483870967742,3.95483870967742,3.95483870967742,3.993710691823899,3.993710691823899,3.993710691823899,3.9133333333333336,3.9133333333333336,3.9133333333333336
90,,,,,,,3.85,3.85,3.85,3.225,3.225,3.225,,,,3.838926174496644,3.838926174496644,3.838926174496644,3.825174825174825,3.825174825174825,3.825174825174825,3.930817610062893,3.930817610062893,3.930817610062893,3.92258064516129,3.92258064516129,3.92258064516129,3.9483870967741934,3.9483870967741934,3.9483870967741934,3.949367088607595,3.949367088607595,3.949367088607595,3.933774834437086,3.933774834437086,3.933774834437086,3.948717948717949,3.948717948717949,3.948717948717949,3.968152866242038,3.968152866242038,3.968152866242038,3.974683544303797,3.974683544303797,3.974683544303797,3.8874172185430464,3.8874172185430464,3.8874172185430464
100,,,,,,,3.65,3.65,3.65,3.675,3.675,3.675,,,,3.780821917808219,3.780821917808219,3.780821917808219,3.8733333333333335,3.8733333333333335,3.8733333333333335,3.8867924528301887,3.8867924528301887,3.8867924528301887,3.9038461538461537,3.9038461538461537,3.9038461538461537,3.878205128205128,3.878205128205128,3.878205128205128,3.949367088607595,3.949367088607595,3.949367088607595,3.95483870967742,3.95483870967742,3.95483870967742,3.929936305732484,3.929936305732484,3.929936305732484,3.9683544303797462,3.9683544303797462,3.9683544303797462,3.968152866242038,3.968152866242038,3.968152866242038,3.9483870967741934,3.9483870967741934,3.9483870967741934
110,,,,,,,3.475,3.475,3.475,3.6,3.6,3.6,,,,3.75177304964539,3.75177304964539,3.75177304964539,3.8344827586206898,3.8344827586206898,3.8344827586206898,3.924528301886793,3.924528301886793,3.924528301886793,3.892405063291139,3.892405063291139,3.892405063291139,3.907284768211921,3.907284768211921,3.907284768211921,3.9556962025316458,3.9556962025316458,3.9556962025316458,3.9615384615384617,3.9615384615384617,3.9615384615384617,3.928571428571429,3.928571428571429,3.928571428571429,3.975,3.975,3.975,3.943037974683544,3.943037974683544,3.943037974683544,3.8933333333333335,3.8933333333333335,3.8933333333333335
120,,,,,,,3.75,3.75,3.75,3.7,3.7,3.7,,,,3.8562091503267975,3.8562091503267975,3.8562091503267975,3.8424657534246576,3.8424657534246576,3.8424657534246576,3.911949685534591,3.911949685534591,3.911949685534591,3.9685534591194966,3.9685534591194966,3.9685534591194966,3.847682119205298,3.847682119205298,3.847682119205298,3.9177215189873418,3.9177215189873418,3.9177215189873418,3.981012658227848,3.981012658227848,3.981012658227848,3.935064935064935,3.935064935064935,3.935064935064935,3.9556962025316458,3.9556962025316458,3.9556962025316458,3.9625,3.9625,3.9625,3.935483870967742,3.935483870967742,3.935483870967742
